No.,Date,Sub Genre,CollectionName,No.,SongDate,Artist Name,Song Name,Sub Genre 1,Sub Genre 2,YouTube URL,Memo,Tagline,Bot Name,,,,,,,,
12,2016-11-29,Synth Pop,Expectations,71,2016-12-01,Rebel and a Basketcase,Oh Yeah,Synth Pop,,https://www.youtube.com/watch?v=y9lJuPio9Qw,Good,WHY CAN'T I JUST BE ME,GDL_LAX,,,,,,,,
12,2016-11-29,Synth Pop,Expectations,72,2016-12-01,Anna Renee,Guilty,Blues,,https://www.youtube.com/watch?v=gSHURwTc7gc,Good,A HABIT OF BREAKING THE RULES,GDL_LAX,,,,,,,,
13,2016-11-30,R&B/Soul,Like it's 1999,73,2016-11-29,TLC,No Scrubs,R&B/Soul,,https://www.youtube.com/watch?v=FrLequ6dUdM,Good,TRYING TO HOLLAR AT ME,SimCard,,,,,,,,
13,2016-11-30,R&B/Soul,Like it's 1999,74,2016-11-29,Ricky Martin,Livin' La Vida Loca,Latin Pop/Rock,,https://www.youtube.com/watch?v=p47fEXGabaY,Good,TIME TO LEARN SPANISH,SimCard,,,,,,,,
13,2016-11-30,R&B/Soul,Like it's 1999,75,2016-11-30,Faith Evans,All Night Long (Feat. Puff Daddy),R&B/Soul,,https://www.youtube.com/watch?v=bVtBCV6Dap8,Good,AIN'T NOTHING BUT A PARTY,SimCard,,,,,,,,
13,2016-11-30,R&B/Soul,Like it's 1999,76,2016-11-30,Lou Bega,Mambo No. 5,Dance Pop,,https://www.youtube.com/watch?v=EK_LN3XEcnw,Good,JUMP UP AND DOWN,SimCard,,,,,,,,
13,2016-11-30,R&B/Soul,Like it's 1999,77,2016-12-01,Backstreet Boys,Larger than Life,R&B/Soul,,https://www.youtube.com/watch?v=MEb2CecR11I,Good,YOU CAN MAKE IT RIGHT,SimCard,,,,,,,,
13,2016-11-30,R&B/Soul,Like it's 1999,78,2016-12-01,S Club 7,S CLUB PARTY,Funk/Groove,,https://www.youtube.com/watch?v=MZkgtgr7LhE,Good,SHAKE FROM SIDE TO SIDE,SimCard,,,,,,,,
14,2016-11-29,Funk/Groove,1989,79,2016-11-30,The B-52's,Love Shack,Dance Rock,,https://www.youtube.com/watch?v=9SOryJvTAGs,Good,BANG BANG BANG ON THE DOOR BABY,MichaelBryant,,,,,,,,
14,2016-11-29,Funk/Groove,1989,80,2016-11-30,Janet Jackson,Miss You Much,Dance Pop,,https://www.youtube.com/watch?v=IVF0zcqr9Dg,Good,AN ARROW GOING THROUGH MY HEART,MichaelBryant,,,,,,,,
14,2016-11-29,Funk/Groove,1989,81,2016-11-30,Bobby Brown,On Our Own,Funk/Groove,,https://www.youtube.com/watch?v=DaIZvCDWAcQ,Good,TOO HOT TO HANDLE TOO COLD TO HOLD,MichaelBryant,,,,,,,,
